date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:29	149068/149068	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2015:30:24%20GMT	https://fluxthemeitem.fluxtheme.com/index.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/index.html	(from )
16:27:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Mar%202022%2006:27:30%20GMT	https://fluxthemeitem.fluxtheme.com/robots.txt		(from )
16:27:31	2406/2406	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2023:19:16%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/favicon.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/favicon.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:32	155758/155758	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2016:21:12%20GMT	https://fluxthemeitem.fluxtheme.com/assets/css/bootstrap.min.css	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/css/bootstrap.min.css	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:33	48649/48649	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2016:21:12%20GMT	https://fluxthemeitem.fluxtheme.com/assets/css/all.min.css	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/css/all.min.css	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:33	81530/81530	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2016:21:12%20GMT	https://fluxthemeitem.fluxtheme.com/assets/css/animate.css	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/css/animate.css	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:34	1491/1491	---M-Z	200	added ('OK')	text/css	date:Sun,%2013%20Dec%202020%2017:23:12%20GMT	https://fluxthemeitem.fluxtheme.com/assets/css/custom-select.css	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/css/custom-select.css	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:36	17010/17010	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Dec%202020%2019:27:52%20GMT	https://fluxthemeitem.fluxtheme.com/assets/css/lightcase.css	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/css/lightcase.css	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:38	57/57	---MCZ	302	error ('Found')	text/plain	date:Wed,%2009%20Mar%202022%2006:27:38%20GMT	https://unpkg.com/swiper/swiper-bundle.min.css	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/unpkg.com/swiper/swiper-bundle.min.7.delayed	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:38	15817/15817	---MCZ	200	added ('OK')	text/css	etag:%223dc9-3fO2LSaEprOGYPPifSe3QmzGX2s%22	https://unpkg.com/swiper@8.0.7/swiper-bundle.min.css	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/unpkg.com/swiper@8.0.7/swiper-bundle.min.css	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:39	95973/95973	---M-Z	200	added ('OK')	text/css	date:Sun,%2003%20Jan%202021%2018:12:36%20GMT	https://fluxthemeitem.fluxtheme.com/assets/css/style.css	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/css/style.css	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:42	52665/52665	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/product-detail.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/product-detail.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:43	50368/50368	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Dec%202020%2018:06:02%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/cart/06.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/cart/06.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:43	56411/56411	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Dec%202020%2018:06:02%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/cart/07.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/cart/07.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:45	27679/27679	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/checkout.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/checkout.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:45	3770/3770	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Dec%202020%2021:59:22%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/logo-white.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/logo-white.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:45	80037/80037	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Dec%202020%2018:06:02%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/cart/08.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/cart/08.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:46	4192/4192	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Dec%202020%2023:10:44%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/logo.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/logo.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:46	54067/54067	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/product-leftsidebar.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/product-leftsidebar.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:46	148609/148609	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/index-search.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/index-search.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:47	148701/148701	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/index2.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/index2.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:47	49370/49370	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/product.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/product.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:48	22858/22858	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/about.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/about.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:48	23803/23803	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/contact.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/contact.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:49	23255/23255	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/cart.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/cart.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:49	25975/25975	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/term-condition.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/term-condition.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:50	34167/34167	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/blog.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/blog.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:50	22038/22038	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2018:02:22%20GMT	https://fluxthemeitem.fluxtheme.com/login.html	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/login.html	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:51	2577/2577	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2020:57:10%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/dot-shape.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/dot-shape.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:51	14240/14240	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2021:06:22%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/flux.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/flux.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:53	13939/13939	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Dec%202020%2019:19:52%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/banner/screenshot/02.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/banner/screenshot/02.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:54	49575/49575	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Dec%202020%2019:19:06%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/banner/screenshot/01.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/banner/screenshot/01.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:54	16675/16675	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Dec%202020%2019:20:20%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/banner/screenshot/03.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/banner/screenshot/03.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:54	8277/8277	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Dec%202020%2019:20:46%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images/banner/screenshot/04.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/banner/screenshot/04.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
16:27:55	2130/2130	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Dec%202020%2020:48:54%20GMT	https://fluxthemeitem.fluxtheme.com/assets/images//feature/icon1.png	C:/Bootstrap_Blue%20Theme/Bootstrap%20Flux%20theme/fluxthemeitem.fluxtheme.com/assets/images/feature/icon1.png	(from https://fluxthemeitem.fluxtheme.com/index.html)
